"id","date","manner_of_death","armed","age","gender","race","city","state","signs_of_mental_illness","threat_level","flee","body_camera"
74,"2015-01-17","shot","gun",21,"MALE","BLACK","Muskogee","OK","False","attack","Foot","True"
75,"2015-01-17","shot","gun",24,"MALE","HISPANIC","Los Angeles","CA","False","attack","Not fleeing","False"
78,"2015-01-17","shot","knife",27,"MALE","HISPANIC","Fort Worth","TX","False","attack","Not fleeing","False"
80,"2015-01-18","shot","gun",32,"MALE","WHITE","Maricopa","AZ","True","attack","Not fleeing","False"
83,"2015-01-18","shot and Tasered","gun",67,"MALE","WHITE","Gunlock","KY","True","attack","Not fleeing","False"
84,"2015-01-19","shot","knife",49,"MALE","WHITE","Weymouth","MA","False","attack","Not fleeing","False"
85,"2015-01-20","shot","vehicle",42,"MALE","BLACK","Scottsdale","AZ","False","other","Car","False"
86,"2015-01-21","shot","gun",36,"MALE","WHITE","Hemet","CA","False","attack","Not fleeing","False"
88,"2015-01-21","shot","gun",36,"MALE","HISPANIC","Chapeno","TX","False","attack","Foot","False"
90,"2015-01-21","shot","gun",19,"MALE","BLACK","St. Louis","MO","False","attack","Not fleeing","False"
98,"2015-01-21","shot","gun",54,"MALE","WHITE","Derry","NH","True","attack","Not fleeing","False"
99,"2015-01-22","shot","toy weapon",25,"MALE","BLACK","Sierra Blanca","TX","False","attack","Car","False"
100,"2015-01-22","shot and Tasered","knife",17,"FEMALE","WHITE","Longview","TX","True","other","Not fleeing","False"
336,"2015-01-23","shot","gun",61,"MALE","WHITE","Austin","TX","True","attack","Not fleeing","False"
101,"2015-01-23","shot","vehicle",29,"MALE","BLACK","Fort Lauderdale","FL","False","other","Not fleeing","False"
102,"2015-01-23","shot","knife",56,"MALE","HISPANIC","Levelland","TX","False","other","Not fleeing","False"
341,"2015-01-24","shot","gun",40,"MALE","WHITE","Fort Worth","TX","False","attack","Not fleeing","False"
105,"2015-01-24","shot","gun",45,"MALE","WHITE","Rexburg","ID","False","attack","Not fleeing","False"
107,"2015-01-24","shot","knife",26,"MALE","BLACK","Baltimore","MD","True","other","Not fleeing","False"
108,"2015-01-25","shot","gun",26,"MALE","HISPANIC","Pueblo","CO","False","attack","Car","False"
110,"2015-01-25","shot","gun",59,"MALE","","Winslow","NJ","False","attack","Not fleeing","False"
20,"2015-01-26","shot","vehicle",17,"FEMALE","HISPANIC","Denver","CO","False","other","Not fleeing","False"
324,"2015-01-26","shot","gun",68,"MALE","WHITE","New Hope","MN","True","attack","Not fleeing","False"
352,"2015-01-26","shot","unarmed",24,"MALE","HISPANIC","Tahoka","TX","False","other","Car","False"
353,"2015-01-26","shot","knife",34,"MALE","HISPANIC","Wasco","CA","True","other","Not fleeing","False"
348,"2015-01-27","shot","vehicle",26,"MALE","NATIVE AMERICAN","Phoenix","AZ","False","other","Not fleeing","False"
349,"2015-01-27","shot","gun",29,"MALE","WHITE","Morenci","AZ","False","attack","Not fleeing","False"
350,"2015-01-27","shot","gun",33,"MALE","BLACK","Columbus","OH","False","attack","Not fleeing","False"
111,"2015-01-27","shot","knife",39,"FEMALE","WHITE","Omaha","NE","True","attack","Not fleeing","False"
345,"2015-01-28","shot","gun",45,"MALE","WHITE","Sunset","TX","False","attack","Not fleeing","False"
346,"2015-01-28","shot and Tasered","hammer",35,"MALE","ASIAN","Stockton","CA","True","attack","Not fleeing","False"
347,"2015-01-28","shot","gun",26,"MALE","WHITE","Rosenberg","TX","False","attack","Not fleeing","False"
342,"2015-01-29","shot","unarmed",42,"MALE","WHITE","Stillwater","OK","False","other","Foot","False"
112,"2015-01-29","shot","gun",31,"MALE","WHITE","Wyoming","MI","True","attack","Not fleeing","False"
113,"2015-01-30","shot","gun",48,"MALE","WHITE","Billings","MT","False","attack","Foot","False"
338,"2015-01-31","shot","gun",31,"MALE","HISPANIC","Houston","TX","False","attack","Not fleeing","False"
339,"2015-01-31","shot and Tasered","knife",54,"MALE","BLACK","Randallstown","MD","True","other","Not fleeing","False"
528,"2015-02-02","shot","gun",17,"MALE","WHITE","Bay City","MI","False","attack","Not fleeing","False"
114,"2015-02-02","shot","unarmed",59,"MALE","WHITE","Hummelstown","PA","False","other","Foot","False"
115,"2015-02-02","shot","gun",42,"MALE","WHITE","Apple Valley","CA","True","attack","Not fleeing","False"
117,"2015-02-03","shot","gun",23,"MALE","BLACK","St. Louis","MO","False","attack","Foot","False"
118,"2015-02-03","shot","gun",38,"FEMALE","BLACK","Emeryville","CA","False","attack","Car","False"
119,"2015-02-03","shot","knife",29,"MALE","BLACK","Antioch","CA","True","other","Not fleeing","False"
120,"2015-02-03","shot","gun",45,"MALE","WHITE","Douglas","GA","True","attack","Not fleeing","False"
116,"2015-02-04","shot","unarmed",28,"MALE","BLACK","Tallahassee","FL","False","attack","Not fleeing","False"
123,"2015-02-04","shot","gun",37,"MALE","HISPANIC","Orlando","FL","False","attack","Not fleeing","False"
124,"2015-02-04","shot","gun",28,"MALE","HISPANIC","Tempe","AZ","False","attack","Car","False"
125,"2015-02-04","shot","unarmed",28,"MALE","HISPANIC","Tempe","AZ","False","other","Not fleeing","False"
126,"2015-02-04","shot","gun",51,"MALE","BLACK","Lorena","TX","False","attack","Car","False"
127,"2015-02-04","shot","knife",36,"MALE","BLACK","Memphis","TN","False","other","Not fleeing","False"
128,"2015-02-05","shot","gun",59,"MALE","WHITE","Chino","CA","False","other","Car","False"
129,"2015-02-06","shot","gun",25,"MALE","BLACK","Oklahoma City","OK","False","attack","Not fleeing","False"
532,"2015-02-07","shot","toy weapon",26,"MALE","WHITE","Calimesa","CA","False","attack","Not fleeing","False"
554,"2015-02-07","shot","gun",74,"MALE","BLACK","Gastonia","NC","False","attack","Not fleeing","False"
131,"2015-02-08","shot","gun",33,"MALE","WHITE","Anchorage","AK","False","attack","Car","False"
132,"2015-02-08","shot","gun",27,"MALE","WHITE","Austin","TX","False","attack","Not fleeing","False"
133,"2015-02-08","shot","gun",57,"MALE","WHITE","New City","NY","True","attack","Not fleeing","False"
134,"2015-02-08","shot","gun",46,"MALE","WHITE","Orange County","FL","False","attack","Not fleeing","False"
135,"2015-02-08","shot","gun",41,"MALE","WHITE","Nocona","TX","False","attack","Not fleeing","False"
136,"2015-02-09","shot","gun",61,"MALE","WHITE","Smyrna","ME","True","undetermined","Not fleeing","False"
137,"2015-02-09","shot","gun",45,"MALE","BLACK","Dallas","TX","False","attack","Not fleeing","False"
138,"2015-02-10","shot and Tasered","unarmed",35,"MALE","HISPANIC","Pasco","WA","True","other","Foot","False"
139,"2015-02-10","shot","gun",49,"MALE","BLACK","Whitehaven","TN","False","attack","Not fleeing","False"
140,"2015-02-10","shot","gun",45,"MALE","WHITE","New Castle","CO","True","attack","Car","False"
141,"2015-02-11","shot","knife",23,"MALE","BLACK","San Jose","CA","True","other","Not fleeing","False"
142,"2015-02-11","shot","toy weapon",46,"MALE","WHITE","Dadeville","AL","True","attack","Foot","True"
145,"2015-02-13","shot","vehicle",23,"MALE","WHITE","San Bernardino","CA","False","attack","Car","False"
146,"2015-02-13","shot","gun",21,"MALE","HISPANIC","Kansas City","KS","False","attack","Car","False"
147,"2015-02-13","shot","unarmed",35,"MALE","HISPANIC","Reading","PA","False","other","Not fleeing","False"
148,"2015-02-13","shot","gun",27,"MALE","WHITE","McLemoresville","TN","False","attack","Not fleeing","False"
154,"2015-02-13","shot","knife",37,"MALE","HISPANIC","San Manuel","AZ","True","other","Not fleeing","False"
149,"2015-02-14","shot","gun",16,"MALE","WHITE","Essex","MD","True","attack","Car","False"
155,"2015-02-14","shot","gun",51,"MALE","WHITE","Laredo","TX","False","attack","Not fleeing","False"
150,"2015-02-15","shot and Tasered","unarmed",25,"MALE","BLACK","Miami Gardens","FL","True","other","Not fleeing","False"
151,"2015-02-15","shot","gun",34,"MALE","WHITE","Iuka","MS","False","attack","Foot","False"
153,"2015-02-15","shot","hatchet",34,"MALE","WHITE","Colton","OR","True","other","Not fleeing","False"
156,"2015-02-16","shot","gun",56,"MALE","WHITE","Marana","AZ","False","attack","Not fleeing","False"
157,"2015-02-16","shot","gun",26,"MALE","WHITE","Boise","ID","False","attack","Not fleeing","False"
158,"2015-02-16","shot","toy weapon",24,"MALE","WHITE","Provo","UT","True","attack","Not fleeing","False"
130,"2015-02-17","shot","gun",43,"FEMALE","WHITE","Gaston County","NC","False","attack","Not fleeing","False"
159,"2015-02-17","shot","unarmed",31,"MALE","WHITE","Springfield","MO","False","other","Foot","False"
160,"2015-02-17","shot","gun",32,"MALE","WHITE","Eaton Rapids Township","MI","False","attack","Not fleeing","False"
161,"2015-02-17","shot","toy weapon",30,"MALE","WHITE","Tewksbury","MA","False","attack","Foot","False"
162,"2015-02-17","shot","vehicle",50,"MALE","HISPANIC","Del Rio","TX","False","other","Not fleeing","False"
163,"2015-02-18","shot","undetermined",20,"FEMALE","BLACK","Charlotte","NC","True","other","Not fleeing","False"
584,"2015-02-20","shot","gun",,"MALE","HISPANIC","Houston","TX","False","attack","Car","False"
165,"2015-02-20","shot","unarmed",31,"MALE","HISPANIC","Euless","TX","False","other","Not fleeing","False"
166,"2015-02-20","shot","gun",38,"MALE","BLACK","Homewood","AL","False","attack","Not fleeing","False"
255,"2015-02-20","shot","gun",77,"MALE","BLACK","Birmingham","AL","True","attack","Not fleeing","False"
167,"2015-02-21","shot","gun",41,"MALE","WHITE","Ruidoso","NM","False","attack","Not fleeing","False"
168,"2015-02-21","shot","knife",51,"MALE","WHITE","Indianapolis","IN","False","attack","Not fleeing","False"
170,"2015-02-22","shot","gun",50,"MALE","WHITE","Palm Bay","FL","False","attack","Not fleeing","False"
266,"2015-02-23","shot and Tasered","knife",42,"MALE","WHITE","Allentown","PA","False","attack","Car","False"
371,"2015-02-23","shot and Tasered","unarmed",39,"MALE","WHITE","Omaha","NE","False","other","Not fleeing","False"
172,"2015-02-23","shot","gun",47,"MALE","WHITE","Denham Springs","LA","True","attack","Not fleeing","False"
174,"2015-02-23","shot","knife",37,"MALE","WHITE","Powder Springs","GA","False","other","Not fleeing","False"
175,"2015-02-23","shot","gun",41,"MALE","WHITE","Clarkesville","GA","False","attack","Foot","False"
176,"2015-02-23","shot","gun",16,"MALE","BLACK","Millbrook","AL","False","attack","Not fleeing","False"
177,"2015-02-24","shot and Tasered","knife",30,"MALE","WHITE","Green Bay","WI","True","attack","Not fleeing","False"
178,"2015-02-25","shot","vehicle",27,"MALE","BLACK","Oklahoma City","OK","False","other","Car","False"
179,"2015-02-25","shot","gun",43,"MALE","WHITE","Las Vegas","NV","True","attack","Not fleeing","False"
180,"2015-02-26","shot and Tasered","unarmed",31,"MALE","WHITE","Terre Haute","IN","False","other","Not fleeing","False"
181,"2015-02-26","shot","gun",42,"MALE","HISPANIC","Lakeland","FL","False","attack","Foot","False"
182,"2015-02-26","shot","knife",21,"MALE","HISPANIC","San Francisco","CA","False","other","Not fleeing","False"
183,"2015-02-26","shot","unarmed",49,"MALE","WHITE","Gulfport","MS","False","other","Not fleeing","False"
184,"2015-02-26","shot","gun",34,"FEMALE","WHITE","Sylvester","GA","False","attack","Car","False"
185,"2015-02-27","shot","unarmed",27,"MALE","HISPANIC","Santa Ana","CA","False","undetermined","Not fleeing","False"
186,"2015-02-28","shot","gun",24,"MALE","WHITE","Pelzer","SC","False","attack","Not fleeing","False"
187,"2015-02-28","shot and Tasered","unarmed",17,"MALE","WHITE","Roxand Township","MI","False","attack","Not fleeing","True"
188,"2015-02-28","shot","unarmed",34,"MALE","BLACK","St Louis","MO","False","other","Car","False"
189,"2015-02-28","shot","knife",28,"FEMALE","HISPANIC","Tucson","AZ","False","other","Not fleeing","False"
190,"2015-02-28","shot","gun",28,"MALE","BLACK","Columbia","MO","False","attack","Car","False"
191,"2015-02-28","shot","gun",40,"MALE","BLACK","Tarboro","NC","True","attack","Car","False"
192,"2015-02-28","shot","gun",37,"FEMALE","WHITE","La Paz County","AZ","False","attack","Car","False"
268,"2015-03-01","shot","gun",49,"MALE","WHITE","Barton","MS","False","attack","Not fleeing","False"
194,"2015-03-01","shot and Tasered","unarmed",43,"MALE","BLACK","Los Angeles","CA","True","attack","Not fleeing","True"
195,"2015-03-01","shot","gun",35,"MALE","ASIAN","Houston","TX","False","attack","Not fleeing","False"
196,"2015-03-02","shot","gun",20,"MALE","BLACK","Joilet","IL","False","other","Foot","False"
197,"2015-03-03","shot","gun",25,"MALE","BLACK","Salisbury","MD","False","attack","Not fleeing","False"
198,"2015-03-03","shot","knife",25,"MALE","WHITE","Tempe","AZ","False","attack","Not fleeing","False"
199,"2015-03-04","shot","unarmed",26,"MALE","WHITE","Deltona","FL","False","other","Not fleeing","False"
249,"2015-03-04","shot","gun",28,"MALE","ASIAN","Stockton","CA","False","attack","Not fleeing","False"
200,"2015-03-05","shot","knife",45,"MALE","BLACK","Milwaukee","WI","True","other","Not fleeing","False"
201,"2015-03-05","shot","unarmed",36,"MALE","HISPANIC","Burbank","CA","False","other","Car","False"
202,"2015-03-05","shot","gun",34,"MALE","WHITE","Lincoln","NE","False","attack","Not fleeing","False"
269,"2015-03-06","shot","unarmed",37,"MALE","BLACK","Aurora","CO","False","undetermined","Foot","False"
270,"2015-03-06","shot","vehicle",48,"MALE","BLACK","Putnam Hall","FL","False","other","Not fleeing","False"
203,"2015-03-06","shot","unarmed",19,"MALE","BLACK","Madison","WI","False","attack","Foot","False"
271,"2015-03-07","shot","gun",29,"MALE","WHITE","Phoenix","AZ","False","attack","Not fleeing","False"
272,"2015-03-08","shot","gun",40,"MALE","HISPANIC","Oklahoma City","OK","False","attack","Not fleeing","False"
273,"2015-03-08","shot","vehicle",35,"MALE","WHITE","Claymont","DE","False","attack","Car","False"
204,"2015-03-08","shot","knife",43,"FEMALE","BLACK","Anaheim","CA","True","other","Not fleeing","True"
274,"2015-03-09","shot","gun",58,"MALE","WHITE","Brevard","NC","False","attack","Not fleeing","False"
275,"2015-03-09","shot","gun",46,"MALE","WHITE","Dinosaur","CO","False","attack","Not fleeing","False"
276,"2015-03-09","shot","gun",30,"MALE","BLACK","Cocoa","FL","False","attack","Not fleeing","False"
205,"2015-03-09","shot","unarmed",27,"MALE","BLACK","Atlanta","GA","True","other","Not fleeing","False"
278,"2015-03-10","shot","gun",31,"MALE","BLACK","Baton Rouge","LA","False","attack","Not fleeing","False"
536,"2015-03-10","shot","knife",23,"MALE","WHITE","Port Wentworth","GA","False","attack","Not fleeing","True"
883,"2015-03-10","shot","sword",37,"MALE","HISPANIC","Ontario","CA","True","other","Car","False"
206,"2015-03-10","shot","gun",64,"MALE","BLACK","Cleveland","OH","False","attack","Not fleeing","True"
277,"2015-03-11","shot","gun",31,"MALE","WHITE","Memphis","TN","True","attack","Not fleeing","False"
279,"2015-03-11","shot","gun",39,"MALE","HISPANIC","Santa Ana","CA","False","attack","Not fleeing","False"
281,"2015-03-11","shot","toy weapon",31,"MALE","WHITE","Kingman","AZ","True","attack","Not fleeing","False"
796,"2015-03-11","shot","vehicle",25,"MALE","HISPANIC","Los Angeles","CA","False","other","Not fleeing","False"
307,"2015-03-11","shot","gun",54,"MALE","WHITE","Bay Minette","AL","False","attack","Not fleeing","False"
581,"2015-03-11","shot","gun",53,"MALE","WHITE","Hoover","AL","True","attack","Not fleeing","False"
248,"2015-03-11","shot","vehicle",37,"MALE","BLACK","Elkton","MD","False","other","Not fleeing","False"
282,"2015-03-12","shot","unarmed",35,"MALE","BLACK","Washington","DC","True","other","Not fleeing","False"
283,"2015-03-13","shot","gun",59,"MALE","WHITE","Kansas City","MO","False","attack","Not fleeing","False"
289,"2015-03-13","shot","knife",36,"MALE","WHITE","Fontana","CA","False","attack","Not fleeing","False"
351,"2015-03-13","shot","unarmed",32,"MALE","HISPANIC","Walnut Creek","CA","False","other","Foot","False"
207,"2015-03-13","shot","gun",41,"MALE","HISPANIC","Napa","CA","False","other","Other","False"
287,"2015-03-14","shot","gun",29,"MALE","HISPANIC","San Antonio","TX","True","attack","Not fleeing","False"
208,"2015-03-14","shot","knife",53,"MALE","WHITE","Follansbee","WV","False","other","Not fleeing","False"
209,"2015-03-14","shot","gun",26,"MALE","WHITE","Kenosha","WI","False","attack","Car","False"
210,"2015-03-15","shot","machete",27,"MALE","WHITE","Ruth","MS","False","other","Not fleeing","False"
212,"2015-03-16","shot","gun",28,"MALE","WHITE","St. Paul","MN","True","attack","Not fleeing","False"
213,"2015-03-16","shot","gun",52,"MALE","WHITE","Gastonia","NC","True","attack","Not fleeing","False"
290,"2015-03-17","shot","gun",20,"MALE","WHITE","Onalaska","TX","True","attack","Not fleeing","False"
292,"2015-03-17","shot","unarmed",22,"MALE","HISPANIC","Sacramento","CA","False","undetermined","Car","False"
216,"2015-03-17","shot","gun",49,"MALE","WHITE","Medford","OR","True","attack","Not fleeing","False"
217,"2015-03-17","shot","gun",24,"MALE","WHITE","Dublin","NC","False","attack","Foot","False"
221,"2015-03-17","shot","vehicle",24,"FEMALE","WHITE","San Francisco","CA","True","other","Not fleeing","False"
294,"2015-03-18","shot","knife",47,"MALE","WHITE","Bakersfield","CA","False","other","Not fleeing","False"
225,"2015-03-18","shot","gun",49,"FEMALE","WHITE","Glendale","AZ","False","attack","Not fleeing","False"
226,"2015-03-18","shot","gun",64,"MALE","WHITE","Tallahassee","FL","False","attack","Not fleeing","False"
265,"2015-03-19","shot","gun",16,"MALE","BLACK","Jacksonville","FL","False","attack","Car","False"
295,"2015-03-19","shot","unarmed",20,"MALE","WHITE","Sumas","WA","True","attack","Not fleeing","False"
306,"2015-03-19","shot","gun",36,"MALE","WHITE","Bakersfield","CA","False","attack","Not fleeing","False"
228,"2015-03-19","shot","box cutter",39,"MALE","WHITE","Lawrence County","AL","True","other","Not fleeing","True"
229,"2015-03-19","shot","unarmed",18,"MALE","BLACK","Cleveland","OH","False","attack","Not fleeing","False"
230,"2015-03-19","shot","gun",31,"MALE","WHITE","Middleton","ID","False","attack","Not fleeing","True"
531,"2015-03-20","shot","gun",24,"MALE","NATIVE AMERICAN","Red Valley","AZ","False","attack","Car","False"
308,"2015-03-20","shot","machete",63,"MALE","BLACK","New Orleans","LA","True","attack","Not fleeing","False"
310,"2015-03-20","shot","gun",34,"MALE","WHITE","Coal County","OK","False","attack","Not fleeing","False"
309,"2015-03-21","shot","gun",44,"MALE","WHITE","Clarendon","NY","False","attack","Car","False"
311,"2015-03-21","shot","gun",60,"MALE","WHITE","Harmony","IN","True","attack","Not fleeing","False"
312,"2015-03-21","shot","gun",42,"MALE","WHITE","Columbus","OH","False","attack","Not fleeing","False"
235,"2015-03-21","shot","gun",21,"MALE","WHITE","Cottonwood","AZ","False","attack","Not fleeing","False"
231,"2015-03-22","shot","knife",37,"MALE","WHITE","Vallejo","CA","True","other","Not fleeing","False"
233,"2015-03-22","shot and Tasered","knife",36,"MALE","WHITE","Portland","OR","True","other","Foot","False"
234,"2015-03-22","shot and Tasered","undetermined",21,"MALE","BLACK","Islip","NY","False","attack","Car","False"
237,"2015-03-23","shot","gun",24,"MALE","BLACK","Santa Clara","CA","False","attack","Not fleeing","False"
313,"2015-03-24","shot","gun",38,"MALE","WHITE","Fond du Lac","WI","False","attack","Not fleeing","False"
238,"2015-03-24","shot","gun",29,"MALE","BLACK","Portsmouth","VA","True","attack","Car","False"
247,"2015-03-24","shot","gun",57,"MALE","WHITE","San Jose","CA","True","attack","Not fleeing","False"
239,"2015-03-25","shot","undetermined",23,"MALE","BLACK","Smyrna","GA","False","other","Car","True"
240,"2015-03-25","shot","gun",27,"MALE","BLACK","Johnsonville","SC","False","attack","Foot","False"
241,"2015-03-25","shot","gun",28,"MALE","HISPANIC","South Los Angeles","CA","False","attack","Foot","False"
242,"2015-03-25","shot and Tasered","gun",63,"MALE","WHITE","Glendale","AZ","True","other","Not fleeing","False"
246,"2015-03-26","shot","gun",53,"FEMALE","WHITE","Gardner","KS","False","attack","Not fleeing","False"
250,"2015-03-26","shot","knife",35,"MALE","HISPANIC","Wilmington","CA","True","other","Not fleeing","False"
256,"2015-03-27","shot","gun",56,"MALE","WHITE","Encinitas","CA","True","attack","Not fleeing","False"
257,"2015-03-27","shot","knife",39,"MALE","BLACK","Fort Pierce","FL","False","other","Not fleeing","False"
258,"2015-03-27","shot","toy weapon",23,"MALE","HISPANIC","Bakersfield","CA","False","attack","Car","False"
316,"2015-03-27","shot","gun",40,"MALE","WHITE","Webster","MA","False","attack","Foot","False"
245,"2015-03-27","shot","knife",26,"FEMALE","BLACK","Oxnard","CA","False","other","Not fleeing","False"
251,"2015-03-27","shot","gun",42,"MALE","WHITE","Fort Ashby","WV","False","attack","Car","False"
254,"2015-03-27","shot","gun",41,"MALE","BLACK","Boston","MA","False","attack","Not fleeing","False"
264,"2015-03-29","shot","vehicle",26,"MALE","WHITE","Jasper","OH","False","attack","Car","False"
252,"2015-03-29","shot","gun",29,"MALE","BLACK","Elizabethtown","KY","False","attack","Not fleeing","False"
262,"2015-03-30","shot","gun",49,"MALE","WHITE","Eugene","OR","True","attack","Not fleeing","False"
244,"2015-03-30","shot","gun",54,"MALE","","Boulder City","NV","False","attack","Not fleeing","False"
259,"2015-03-31","shot","gun",36,"MALE","WHITE","Carollwood","FL","False","attack","Not fleeing","False"
261,"2015-03-31","shot","toy weapon",21,"MALE","HISPANIC","Baytown","TX","False","attack","Not fleeing","False"
263,"2015-03-31","shot","vehicle",27,"FEMALE","BLACK","Fort Meade","MD","False","other","Car","False"
267,"2015-04-01","shot","gun",37,"MALE","BLACK","Hawthorne","CA","False","attack","Not fleeing","False"
533,"2015-04-01","shot","knife",36,"MALE","WHITE","Hamilton","NJ","False","attack","Not fleeing","False"
286,"2015-04-02","shot","gun",32,"MALE","BLACK","Rock Island","IL","False","attack","Foot","False"
288,"2015-04-02","shot and Tasered","gun",63,"MALE","WHITE","Metropolis","IL","True","attack","Not fleeing","False"
291,"2015-04-02","shot","unarmed",44,"MALE","BLACK","Tulsa","OK","False","other","Not fleeing","False"
303,"2015-04-02","shot","gun",27,"MALE","WHITE","Pineville","LA","True","attack","Not fleeing","False"
299,"2015-04-03","shot","knife",38,"MALE","WHITE","Winchester","VA","False","other","Not fleeing","True"
296,"2015-04-04","shot","gun",17,"MALE","BLACK","Zion","IL","False","attack","Foot","False"
297,"2015-04-04","shot and Tasered","unarmed",50,"MALE","BLACK","North Charleston","SC","False","other","Foot","False"
300,"2015-04-04","shot","gun",31,"MALE","BLACK","Orange","CA","False","attack","Not fleeing","True"
302,"2015-04-04","shot","gun",34,"MALE","WHITE","Edgewood","NM","True","attack","Car","False"
301,"2015-04-05","shot","knife",51,"MALE","WHITE","Phoenix","AZ","True","other","Not fleeing","False"
304,"2015-04-05","shot","gun",56,"MALE","WHITE","Tehachapi","CA","False","attack","Not fleeing","False"
298,"2015-04-06","shot","gun",23,"MALE","WHITE","Indianapolis","IN","True","attack","Not fleeing","False"
318,"2015-04-06","shot","gun",25,"MALE","BLACK","Harvey","LA","False","attack","Foot","False"
322,"2015-04-06","shot","gun",31,"MALE","WHITE","Jefferson County","ID","False","attack","Car","False"
319,"2015-04-07","shot","gun",32,"MALE","WHITE","Pottawatomie County","OK","False","attack","Car","False"
329,"2015-04-08","shot","gun",60,"MALE","WHITE","San Antonio","TX","False","attack","Car","False"
330,"2015-04-08","shot","vehicle",42,"MALE","BLACK","Valdosta","GA","False","attack","Car","False"
331,"2015-04-08","shot","gun",39,"MALE","HISPANIC","Los Angeles","CA","False","attack","Foot","False"
359,"2015-04-08","shot","knife",28,"MALE","ASIAN","Sunnyvale","CA","True","other","Not fleeing","False"
